125666, 18946, 2231926
340837, 17226, 5043750
67794, 9153, 1199001
137211, 16052, 2120672
57325, 18518, 1154376
75034, 12766, 1366980
165135, 19070, 2396393
17501, 6710, 386796
556491, 10811, 8798356
15694, 1633, 312405
176541, 18538, 2668593
136472, 14450, 2265854
309720, 19744, 4343866
1143289, 16640, 23218173
64282, 2748, 1890697
386580, 5241, 7782550
16129, 8584, 375923
148294, 17980, 2041443
14427, 621, 344138
40449, 5182, 831447
13171, 1376, 286760
2312, 599, 86558
43362, 15188, 954841
71502, 16162, 1411702
86494, 18896, 1681112
92991, 12978, 1850231
10011, 9882, 308027
317993, 19198, 4515943
420073, 19138, 5757556
121484, 13104, 2026375
52224, 12008, 1038674
1214258, 15515, 16839182
317758, 17354, 3827894
620, 150, 42264
11788, 3958, 244972
327404, 17338, 5065631
59372, 17565, 1134244
396043, 22180, 6105913
25752, 11918, 547217
14123, 3034, 292207
39093, 13676, 656293
149438, 16190, 2684097
786767, 22866, 11769338
18822, 4709, 441676
214236, 16972, 3492186
147367, 17320, 2618093
1989, 1408, 92303
27222, 4740, 487160
49401, 12158, 884397
20022, 7260, 410073
94677, 15050, 1612999
36454, 15940, 807265
74376, 18146, 1448331
12224, 6342, 281992
11073, 3035, 241332
2618, 3760, 109951
23562, 13368, 575712
184823, 16042, 2905947
685258, 10339, 9903722
28338, 8529, 574954
611658, 9148, 9533844
332294, 18846, 5701678
182524, 18282, 3115719
442967, 20624, 7085829
364799, 19164, 4319256
18139, 11896, 431277
139845, 21026, 2599167
23423, 4941, 456102
2473, 1747, 106518
30044, 10266, 625466
76568, 17803, 1314505
228777, 18278, 2652515
156683, 12458, 2510049
819772, 24364, 12012156
61603, 14916, 1115883
3909, 868, 127655
42352, 17546, 916943
334256, 17130, 5048935
296745, 21312, 5004319
184336, 17284, 2661023
9063, 1004, 209893
140051, 18540, 2360653
64063, 18938, 1382234
3212, 371, 98872
367505, 17800, 4998437
92453, 10928, 1707633
10901, 5798, 272893
697509, 16312, 10300948
627768, 20764, 8761377
1399031, 14425, 19905444
1241080, 14828, 18266030
196150, 18952, 3409810
251722, 22420, 4154937
128809, 15744, 2106057
511612, 21536, 7775729
72801, 17770, 1162913
241083, 19032, 3750537
241478, 15410, 3514642
546900, 19960, 6570149
13929, 4383, 323154
46326, 12622, 913647
90804, 18844, 1549356
37585, 18722, 811569
55611, 14522, 1183535
22500, 11128, 515266
14206, 7244, 365349
825277, 9201, 12766229
524423, 17786, 8645987
373323, 18072, 5945464
1654, 858, 89033
88383, 18494, 1437168
29605, 1040, 563028
10224, 1008, 227506
54825, 15183, 1119500
2327, 308, 70345
540939, 23148, 7981405
12769, 6908, 313341
27790, 8777, 557337
550, 98, 39175
1808, 560, 58231
29269, 7208, 565786
400105, 14113, 6255488
653756, 21842, 9275243
7765, 6754, 251900
594729, 23606, 8685044
68709, 17354, 1278381
34198, 16416, 825810
809571, 25258, 12049556
40257, 12292, 779353
1581, 2310, 91009
88687, 20234, 1628452
1023543, 15785, 15437701
63142, 18330, 1321181
829345, 15092, 12438438
17720, 10794, 423157
677693, 19750, 9495477
554614, 21012, 7307004
28556, 8375, 578206
1789, 1000, 66429
30298, 9516, 677087
2482, 522, 79538
305307, 15874, 4671108
2915, 1298, 107111
267886, 13214, 4036680
27405, 6786, 640943
48849, 11038, 1017934
538288, 21676, 6850767
66578, 17232, 1203648
112087, 11448, 2063554
42209, 13394, 982944
198130, 19202, 3170593
199268, 22218, 3327705
19207, 13364, 457208
32257, 16992, 769732
312653, 20222, 4979542
155660, 17544, 2633633
395753, 23504, 5931516
411197, 22076, 6492243
39597, 16077, 843005
43100, 10266, 896932
11697, 5272, 311144
18817, 4387, 400740
6131, 2402, 152850
22174, 13200, 544805
5125, 4756, 163288
32235, 1306, 648353
304040, 11722, 5095935
70987, 12304, 1268231
538321, 7339, 8027659
